threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-ng-setting href,js-response href
"垢版
|
0077 名無しどんぶらこ 2025/11/27(木) 22:40:54.23","中国は国のトップが情報を操作して、国民たちを守るどころか心理的に縛り付けるような嘘や警告を出す

中国政府のせいで不安に怯えながら生きている中国人が大勢いるんだよね
中国人は政治の道具にされるだけで、自分の意志で行動できない現状は本当にかわいそう

中国共産党なんて中国人の手によって壊滅させた方がいいと思う
がんばれ中国人",,,,,,ID:yR2qasa10(1/3),,,,,
"垢版
|
0078 名無しどんぶらこ 2025/11/27(木) 22:40:55.94","韓国でも嫌われてるらしいな
道でうんこなんかするから",,,,,,ID:eHc/1vW80,,,,,
"垢版
|
0079 名無しどんぶらこ 2025/11/27(木) 22:41:02.22","そうなんだー
へぇー
りょうかーいでーす",,,,,,ID:6GW9mQVc0,,,,,
"垢版
|
0080 名無しどんぶらこ 2025/11/27(木) 22:41:03.18","中国ってガキだよな
直ぐバレる嘘付きまくったり
頭も相当悪いと分かる",,,,,,ID:qojke+fj0(4/8),,,,,
"垢版
|
0081 名無しどんぶらこ 2025/11/27(木) 22:41:03.31","中国人観光客のマナーの悪さは知れ渡ってますよｗ
https://www.youtube..../watch?v=RfnhkYXJslc",https://www.youtube.com/watch?v=RfnhkYXJslc,https://www.youtube..../watch?v=RfnhkYXJslc,,,,ID:l17yTcbR0,,https://www.youtube.com/watch?v=RfnhkYXJslc,https://i.ytimg.com/vi/RfnhkYXJslc/default.jpg,,
"垢版
|
0082 名無しどんぶらこ 2025/11/27(木) 22:41:12.76",">>65
帰化取り消してほしいよね
今日北村議員が",,>>65,,,,ID:IVqCSOEa0(2/2),,,,,
"垢版
|
0083 名無しどんぶらこ 2025/11/27(木) 22:41:15.74",さっさと断交しろや,,,,,,ID:PigeN59P0(2/2),,,,,
"垢版
|
0084 名無しどんぶらこ 2025/11/27(木) 22:41:18.33","どうしよう
日本人たちが真実を言われて困ってる
日本人どうすんの
もう君らに勝ち目がないよ
世界が敵になっちゃったよ",,,,,,ID:WBQACc5q0(3/6),,,,,
"垢版
|
0085 名無しどんぶらこ 2025/11/27(木) 22:41:25.70",">>50
ヨン様好きのババアだろそんなん
いつの話をしとるんだ",,,,>>50,,ID:TqeAgMYK0(2/2),1,,,,
"垢版
|
0086 名無しどんぶらこ 2025/11/27(木) 22:41:43.42","負傷報告ｗｗｗ
プロパガンダ必死過ぎだろ",,,,,,ID:4OkldrNy0,,,,,
"垢版
|
0087 名無しどんぶらこ 2025/11/27(木) 22:42:23.72",チャイナさんが日本に来なくなると平和になるね。,,,,,,ID:/wYKQIsH0(2/2),,,,,
"垢版
|
0088 名無しどんぶらこ 2025/11/27(木) 22:42:24.45","中国政府に逆らってお忍びで日本旅行に来る中国人は非人民じゃねえかｗ
中国留学生も帰国した方が中国にいる親などに人民からのヘイトを溜めないほうがいいと思うよ。まあ中国人は中国人のことをよく知っているだろうから余計なお世話だと思うが",,,,,,ID:md5f2MKS0(2/4),,,,,
"垢版
|
0089 名無しどんぶらこ 2025/11/27(木) 22:42:38.41","おいおい
ネットに真実もないオールドメディアに真実もない
じゃあこれこそ真実だぞ",,,,,,ID:WBQACc5q0(4/6),,,,,
"垢版
|
0090 名無しどんぶらこ 2025/11/27(木) 22:42:42.16",声でかチャンもネット民の言葉の暴行で負傷するのかよ,,,,,,ID:8ENFPfGn0(1/2),,,,,
"垢版
|
0091 名無しどんぶらこ 2025/11/27(木) 22:42:46.83",新宿歌舞伎町行けば同士でケンカしてそうだけど,,,,,,ID:rYBPiWxs0,,,,,
"垢版
|
0092 名無しどんぶらこ 2025/11/27(木) 22:42:53.26",">>55
だからもう中国人は来なければいいのにね
何で中国は渡航禁止にしないのか",,>>55,,,,ID:qojke+fj0(5/8),,,,,
"垢版
|
0093 名無しどんぶらこ 2025/11/27(木) 22:43:09.08","立憲支持者はこれ信じるの？
中国共産党の下僕なんだろw",,,,,,ID:vsi8ARzj0,,,,,
"垢版
|
0094 名無しどんぶらこ 2025/11/27(木) 22:43:11.91","ヨーチエンジの喧嘩みたいだな🙄

さすがキンペー",,,,,,ID:87odaUZi0(1/2),,,,,
"垢版
|
0095 名無しどんぶらこ 2025/11/27(木) 22:43:14.65",">>72
原爆茶化されてよく好きになれるな",,>>72,,,,ID:VxonlE5Q0,,,,,
"垢版
|
0096 名無しどんぶらこ 2025/11/27(木) 22:43:23.53",ウヨ発狂は逆効果,,,,,,ID:eqf1esa50,,,,,
"垢版
|
0097 名無しどんぶらこ 2025/11/27(木) 22:43:25.69",">>1
こんな状況でも日本に来てくれる人は親日派だろうから快く受け入れたいなぁと思う",,>>1,,,,ID:NOEpYfPT0,,,,,
"垢版
|
0098 名無しどんぶらこ 2025/11/27(木) 22:43:25.93",">>1　逆だろｗｗｗ
死ねよ中国共産党",,>>1,,,,ID:XxDd5Dd50(1/2),,,,,
"垢版
|
0099 名無しどんぶらこ 2025/11/27(木) 22:43:28.31",この掲示板やこのスレが何よりの証左ね,,,,,,ID:5KuSEw240,,,,,
"垢版
|
0100 名無しどんぶらこ 2025/11/27(木) 22:43:34.08",こんな適当な嘘を国レベルでつくのは恥ずかしいことだよ、せめて国内向けだけにしとけよ,,,,,,ID:4Q0YJ5tw0,1,,,,
"垢版
|
0101 名無しどんぶらこ 2025/11/27(木) 22:43:34.50","今のネット時代裏づけのＳＮＳぐらい作らんと
ウソはすぐばれるで",,,,,,ID:D6d9kkw70,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0102 名無しどんぶらこ 2025/11/27(木) 22:43:37.77",">>3
うわー大変だー、こりゃあ危ないから日本に行くのやめた方がいいぞー(棒)",,>>3,,,,ID:3Ahb5N4C0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0103 名無しどんぶらこ 2025/11/27(木) 22:43:46.58",くまのプーさんに似てるとか髪型がヅラっぽいとか侮辱されるから注意な,,,,,,ID:xtk1nPfL0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0104 名無しどんぶらこ 2025/11/27(木) 22:44:03.26","日本危ないから行かないでねー(涙目)

なんやこの腰抜け
ミサイル落とすとはなんだったのか",,,,,,ID:F/TW97Jv0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0105 名無しどんぶらこ 2025/11/27(木) 22:44:19.54",やれって言ってるのか？,,,,,,ID:abh7ysSX0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0106 名無しどんぶらこ 2025/11/27(木) 22:44:20.75",日本旅行したい中国人をあきらめさせるための嘘アル,,,,,,ID:Nv06fRVk0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0107 名無しどんぶらこ 2025/11/27(木) 22:44:23.26","治安がいいことで有名な日本でそれは
無理がある",,,,,,ID:07TI4BBi0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0108 名無しどんぶらこ 2025/11/27(木) 22:44:24.04",">>100
まあ公式で外交官が首斬ってやるとか言っちゃう国やし🙄",,>>100,,,,ID:87odaUZi0(2/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0109 名無しどんぶらこ 2025/11/27(木) 22:44:24.08",">>50
韓国
アメリカ
台湾
タイ
ベトナムの順だったな
中国の人気ってないんだね
香港や上海は人気だと思っていた",,,,>>50,,ID:ccIaHVD40(1/2),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
"垢版
|
0110 名無しどんぶらこ 2025/11/27(木) 22:44:25.52","すげーな
でっち上げまでし出したよ
メンヘラ不細工そのもの",,,,,,ID:ySKqWAl70,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0111 名無しどんぶらこ 2025/11/27(木) 22:44:28.67","それは大変だ
早くシナゴキブリ全部回収しないと",,,,,,ID:YrqXaq4e0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,
"垢版
|
0112 名無しどんぶらこ 2025/11/27(木) 22:44:41.57","日本ですらメディアや工作員に世論誘導されるんだから
中国なんてやりたい放題だろ",,,,,,ID:fuMyHriY0(1/7),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764250215#
