threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0817 名無しどんぶらこ 2025/11/28(金) 04:59:38.20",いやフォローになってないんだがｗ,,,,ID:FuJ8huAC0(1/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0818 名無しどんぶらこ 2025/11/28(金) 05:00:40.44",批判すると「女だから批判してる」って思われるからみんな批判できないでいる気がする,,,,ID:BMJyy7QF0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0819 名無しどんぶらこ 2025/11/28(金) 05:00:43.75","高市早苗氏「“裏金問題”の調査をすると約束しましたが調査結果を公表するとは約束してません」 [バイト歴50年★]
https://asahi.5ch.ne...newsplus/1764251739/",https://asahi.5ch.net/test/read.cgi/newsplus/1764251739/,https://asahi.5ch.ne...newsplus/1764251739/,,ID:1/R/MAWN0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0820 名無しどんぶらこ 2025/11/28(金) 05:01:12.21","何かさ、石丸 → 参政党 → 高市の流れをみてると、

ハッキリをモノをいう
「敵」と対立することを恐れない

そこに痺れる 憧れるぅ、って言ってるようにしか見えないんだよね
いや、それ自分がビビりだからハッキリ意思表示する人間に憧れてるだけだろ、って言いたくなる
それができる人間なら、そんなとこ飛び越して相手の能力を見てるよ",,,,ID:LOUSq2eV0(3/3),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0821 名無しどんぶらこ 2025/11/28(金) 05:02:46.36","https://video.twimg....symZE2J7L.mp4?tag=12

サナエちゃんが大好きな韓国芸能wwww",https://video.twimg.com/ext_tw_video/1772793578462593024/pu/vid/avc1/1130x720/YU5kn3CsymZE2J7L.mp4?tag=12,https://video.twimg....symZE2J7L.mp4?tag=12,,ID:RAHJoOLG0(3/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0822 名無しどんぶらこ 2025/11/28(金) 05:03:56.63","高市が就任してよかったことがあるか？
ない",,,,ID:HQvKdYlW0(5/11),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0823 名無しどんぶらこ 2025/11/28(金) 05:04:13.55",親分同士が手打ちをしている最中に頭空っぽの馬鹿が喧嘩を始めてすぐにヤラれるヤクザ映画でも観ているようだ,,,,ID:1K5Q5GtP0(1/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0824 名無しどんぶらこ 2025/11/28(金) 05:04:30.73",女安倍,,,,ID:9TwC3TZX0,2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0825 名無しどんぶらこ 2025/11/28(金) 05:06:00.16",">>824
安倍さんとは全然違う
https://i.imgur.com/W5haDu5.jpeg

劣化小泉劇場でも見てるようだ",https://i.imgur.com/W5haDu5.jpeg,https://i.imgur.com/W5haDu5.jpeg,,ID:1K5Q5GtP0(2/4),1,>>824,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0826 名無しどんぶらこ 2025/11/28(金) 05:06:15.17",">>822
ガソリン目茶苦茶下がった",,>>822,,ID:tEr9zr760(1/13),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
