threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0093 名無しどんぶらこ 2025/11/23(日) 16:08:32.83",">>83
アメリカすら言ってないことをアメリカ抜きで何も出来ない日本が主導的にやっても自滅するだけだろ",,>>83,ID:yOvrmiI30(5/12),2,,,,,,,
"垢版
|
0094 名無しどんぶらこ 2025/11/23(日) 16:09:10.97",">>89
高市は無能の分際で石破を叩いてから今仕返しされてるだけ",,>>89,ID:yOvrmiI30(6/12),1,,,,,,,
"垢版
|
0095 名無しどんぶらこ 2025/11/23(日) 16:09:14.65","＞歴代政権は注意しながら、注意しながら、注意しながら日中関係をマネジメントしてきた」と、
＞日中関係のバランス取りの難しさを説明

いや
本来の国と国との関係でそんな気遣いする相手とは付き合うべきじゃない
どういうのを「このままでいい」って人は時代遅れすぎる
もうとっくに２１世紀ですよ",,,ID:vn36UTpT0,,,,,,,,
"垢版
|
0096 名無しどんぶらこ 2025/11/23(日) 16:09:14.93","石破さんに戻せよ
高市が総理じゃ日本はもたない",,,ID:UwPfGrl80(1/3),2,,,,,,,
"垢版
|
0097 名無しどんぶらこ 2025/11/23(日) 16:09:24.68",">>1
石破この野郎
てめえは余計なことを言う暇あるならポケットマネーで国民に給付金を支払いやがれ
くそやろう石破",,>>1,ID:v/PL/8Gu0,,,,,,,,
"垢版
|
0098 名無しどんぶらこ 2025/11/23(日) 16:09:43.83","神経使って、習が勘違いして台湾戦争を起こしてからでは遅い。
日本がどれだけの圧があるのかは、習に聞けだが、今回の中国の火病っぷりは
２０２６年、台湾戦争だったように思える。そう考えたら、今回の発言でそれを
止めたことになるのなら、素晴らしいことだ。岡田バッシングにしろ、高市バッシングにしろ、
評価するのは国民で、その最高の方法は選挙だ、選挙負けるような総理はいらないのだから。",,,ID:3e6TElGg0,,,,,,,,
"垢版
|
0099 名無しどんぶらこ 2025/11/23(日) 16:09:48.19",日中国交正常化がなかった方が良かったかもしれん,,,ID:2ACZmHcM0(1/2),1,,,,,,,
"垢版
|
0100 名無しどんぶらこ 2025/11/23(日) 16:10:08.34",>>96 石破で中国領になっても平気なんだ、へー,,>>96,ID:KcXgfALB0,1,,,,,,,
"垢版
|
0101 名無しどんぶらこ 2025/11/23(日) 16:10:25.28",単に国益より中国美女との一夜をとっただけじゃないの？,,,ID:ntJGh2Pl0(1/2),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,
"垢版
|
0102 名無しどんぶらこ 2025/11/23(日) 16:10:35.38","岩屋の部屋にいた女性ってどう考えてもハニトラ要員としか考えられないんだよなw
そろそろ答え合わせしようよ",,,ID:AOjmigR60(3/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,,
"垢版
|
0103 名無しどんぶらこ 2025/11/23(日) 16:10:48.54",">>93
アメリカは台湾を攻撃したら北京を空爆するって言ってるぞ",,>>93,ID:cdMLZrfd0(2/2),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,
"垢版
|
0104 名無しどんぶらこ 2025/11/23(日) 16:10:51.91","石破って総理大臣時代に業績あるの？？いつも居眠りして「誰にもほめてもらえなくてツライ！」「給付金だす！やっぱ出したくない！」とかバカなことばっか言って総理大臣に椅子にしがみついていたイメージしかないよ
国際会議でもスマホいじって椅子に座ってた石破と違って各国代表ときちんとコミュニケーションしてたし
高市さんは不眠不休で日本のこと考えて一生懸命やってる
少なくとも石破みたいな仕事しない人より１００倍マシだよ",,,ID:Kz15oNl00,1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,
"垢版
|
0105 名無しどんぶらこ 2025/11/23(日) 16:11:26.58","100歩譲ってその「口に出さずに曖昧に、なあなあでうまくやる」がこれまで正しかったとしてもさ
多くの日本人がそれにイライラしてきてることに気付いてないんだろうね

中国とうまくやって経済的に潤ってるのは今は上級だけでしょ
総中流の時代はみんなに恩恵あったから黙ってたけどさ",,,ID:oMESE4io0(2/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,,
"垢版
|
0106 名無しどんぶらこ 2025/11/23(日) 16:11:33.01",これが噂のアスペか笑,,,ID:MzWTvwaw0(4/7),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763880869#,,,,,,
